ts,venue,slug,side,team,espn_event,kickoff,dk_ml,dk_prop,dk_pow,v_bid,v_ask,v_mid,v_spread_c,gap_prop_c,gap_pow_c,fee_coef
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-ne-sea-2026-09-09,home,SEA,401872656,2026-09-10T00:20:00Z,-170,0.6038,0.6105,0.37,0.375,0.6275,0.5,2.37,1.7,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-ne-sea-2026-09-09,away,NE,401872656,2026-09-10T00:20:00Z,142,0.3962,0.3895,0.37,0.375,0.3725,0.5,-2.37,-1.7,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-sf-lar-2026-09-10,home,LAR,401872657,2026-09-11T00:35:00Z,-185,0.6225,0.6304,0.355,0.36,0.6425,0.5,2.0,1.21,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-sf-lar-2026-09-10,away,SF,401872657,2026-09-11T00:35:00Z,154,0.3775,0.3696,0.355,0.36,0.3575,0.5,-2.0,-1.21,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-tb-cin-2026-09-13,home,CIN,401872925,2026-09-13T17:00:00Z,-205,0.6447,0.654,0.345,0.35,0.6525,0.5,0.78,-0.15,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-tb-cin-2026-09-13,away,TB,401872925,2026-09-13T17:00:00Z,170,0.3553,0.346,0.345,0.35,0.3475,0.5,-0.78,0.15,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-nyj-ten-2026-09-13,home,TEN,401872924,2026-09-13T17:00:00Z,-125,0.5325,0.5346,0.465,0.47,0.5325,0.5,0.0,-0.21,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-nyj-ten-2026-09-13,away,NYJ,401872924,2026-09-13T17:00:00Z,105,0.4675,0.4654,0.465,0.47,0.4675,0.5,-0.0,0.21,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-atl-pit-2026-09-13,home,PIT,401872658,2026-09-13T17:00:00Z,-185,0.6225,0.6304,0.37,0.375,0.6275,0.5,0.5,-0.29,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-atl-pit-2026-09-13,away,ATL,401872658,2026-09-13T17:00:00Z,154,0.3775,0.3696,0.37,0.375,0.3725,0.5,-0.5,0.29,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-cle-jax-2026-09-13,home,JAX,401872922,2026-09-13T17:00:00Z,-440,0.7819,0.8003,0.215,0.22,0.7825,0.5,0.06,-1.78,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-cle-jax-2026-09-13,away,CLE,401872922,2026-09-13T17:00:00Z,340,0.2181,0.1997,0.215,0.22,0.2175,0.5,-0.06,1.78,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-bal-ind-2026-09-13,home,IND,401872659,2026-09-13T17:00:00Z,145,0.3908,0.3834,0.62,0.625,0.3775,0.5,-1.33,-0.59,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-bal-ind-2026-09-13,away,BAL,401872659,2026-09-13T17:00:00Z,-175,0.6092,0.6166,0.62,0.625,0.6225,0.5,1.33,0.59,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-no-det-2026-09-13,home,DET,401872923,2026-09-13T17:00:00Z,-305,0.7221,0.7367,0.255,0.26,0.7425,0.5,2.04,0.58,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-no-det-2026-09-13,away,NO,401872923,2026-09-13T17:00:00Z,245,0.2779,0.2633,0.255,0.26,0.2575,0.5,-2.04,-0.58,0.06
